year,population_growth,birth_rate,death_rate,fertility_rate,life_expectancy,urban_population,gdp_growth,prev_population,population_ma3,population_change,population_lag_1,population_lag_2,birth_rate_lag_1,birth_rate_lag_2,death_rate_lag_1,death_rate_lag_2,fertility_rate_lag_1,fertility_rate_lag_2,gdp_growth_lag_1,gdp_growth_lag_2
1965,0.7227623919160263,1.4540026821171288,2.05898419085737,1.6969700586500776,-1.805049996757074,-1.7418526089075237,-2.578664641918677,-1.502177544840324,-1.4939603714681275,-1.8799121036204813,-1.502177544840324,-1.4937264388063984,1.4673704309917024,1.4538532899296093,1.7478708047712863,1.7204150170941457,1.6633723814755428,1.5937414089040987,0.7677338181474883,0.2939468599092712
1966,0.40359708887269524,1.3892918228366105,1.979448543364034,1.6424366219137567,-1.7579696401946479,-1.6928178364722366,-1.7242343094216108,-1.4596336584060379,-1.4508716208715018,-1.942042642149285,-1.4596336584060379,-1.4501037816446654,1.4067972408897533,1.4238831734240864,1.968368366694379,1.6649148331048134,1.6288837737521304,1.6028451365850802,-2.5829261856191383,0.7807284499779409
1967,0.4241682532885534,1.3349056175087148,1.9067830846907214,1.5915387476265235,-1.7146441586954833,-1.6400479128644698,0.885402526932167,-1.4183003089596156,-1.4081177809096683,-2.0489174962545706,-1.4183003089596156,-1.407190959729984,1.3412131299521202,1.3622945840052376,1.8900097289861721,1.8825474990259443,1.5744280773467434,1.5682509713973494,-1.7259114811033416,-2.586208233651359
1968,0.42887368224826505,1.284591106697345,1.5717292606988633,1.532460857828842,-1.4632119477286623,-1.583900290729811,-0.5841099488986651,-1.375929642703369,-1.3656588722354,-1.9573357570575274,-1.375929642703369,-1.3654991724347323,1.2860930007595932,1.2956110747804503,1.818419611478675,1.8052069648556246,1.5236027607017149,1.5136286053114594,0.8916186522957451,-1.7250303630825083
1969,0.3280510554610459,1.2224977653203084,1.5061982288771116,1.463385171296169,-1.4148318267212612,-1.5247324227137702,0.4594979049374437,-1.3326060100614332,-1.3229377241697495,-1.8732010759541537,-1.3326060100614332,-1.3227610728426984,1.2350995122552757,1.239566956915124,1.4883240878441046,1.7345470083877255,1.464609089595878,1.462647730297962,-0.5823386176619689,0.9052150860944681
1970,0.633110686627843,1.17959955523547,1.4393460068976636,1.4088517345598472,-1.3678958884304988,-1.4629017614618587,0.0017371475662857675,-1.2890751745331397,-1.2794775312622926,-1.8549077247623347,-1.2890751745331397,-1.2790617428547786,1.1721682417600636,1.1877186553605696,1.423762818237343,1.4087403727466468,1.3956318741490543,1.4034735003715804,0.46442580825895735,-0.575902304731192
1971,0.6225506127317233,1.1739282664445931,1.3859699245267214,1.3552271884357987,-1.3221152963130478,-1.3975064395277035,-1.1619102975568172,-1.2423466148938043,-1.2345517187759536,-1.5725897937426512,-1.2423466148938043,-1.2351534131419228,1.1286911345092727,1.1237324566212794,1.3578999101304452,1.3450179392774133,1.3411761777436664,1.3342851699961196,0.005280474465792506,0.47594704458786985
1972,0.5621321264604249,1.135247168537587,1.3291587477457676,1.2797892676172211,-1.27720121382558,-1.3204040949709577,-1.889121932327915,-1.1946494798290326,-1.1881550371756353,-1.4870770350898619,-1.1946494798290326,-1.188019629038073,1.1229433135506934,1.0795265347756335,1.3053137147249385,1.2800107793269457,1.2876280762783694,1.279662803910229,-1.1618866232052891,0.014571296010695138
1973,0.7204942785926284,1.112125760390166,1.2535866707255217,1.2070780186354595,-1.2152457752817738,-1.2280630488074353,-0.6147079061219506,-1.1463532664653324,-1.1401556933616321,-1.4341861226786623,-1.1463532664653324,-1.139908870138869,1.0837402270126928,1.0736823620570566,1.249343259219077,1.228107829485071,1.2122976962509164,1.2259508105924375,-1.891297835085389,-1.1582656115407328
1974,0.8627988414252566,1.06864587966011,1.143135173542086,1.137093441490514,-1.126139701665158,-1.1250656135683266,-1.3134279044851027,-1.0957264164126537,-1.0908453007789425,-1.22842086428163,-1.0957264164126537,-1.0911938378055828,1.0603068031046397,1.033822107104712,1.174889537011279,1.172864590791986,1.139690101043733,1.150389870840289,-0.6130291236882061,-1.8912201231798864
1975,1.0390728909392117,0.9758694117478165,1.046688292030234,1.0189376618951516,-1.0536417292898883,-1.0152508779321212,1.3237857422126447,-1.0427898457062714,-1.0397728138117415,-1.0245022229155911,-1.0427898457062714,-1.0401279577814906,1.0162401757555335,1.0099958644828217,1.0660725583998831,1.09937823606537,1.0698052906568192,1.0775600493924353,-1.3138625212882742,-0.606741897665934
1976,1.0131158766628476,0.958710127713881,0.9544692190230113,0.9598597720974701,-0.9755114443197278,-0.9024579305772839,-1.1552305690069773,-0.9871535662119653,-0.9862317614883858,-0.7861526427468386,-0.9871535662119653,-0.9867323274832163,0.922211720074163,0.9651905403070659,0.9710529478899319,0.991975102234163,0.9518179484451463,1.007461346248876,1.3313278332775351,-1.3109797710519615
