"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Rural population","SP.RUR.TOTL","22505","22747","22972","23124","23207","23232","23196","23051","22800","22498","22157","21791","21224","21030","20776","20507","20309","20191","20104","20135","20318","20531","20791","21148","21424","21080","20524","20316","20429","20858","21692","22799","23882","25506","26863","27631","28747","29885","30633","31057","31385","31697","31966","32410","33214","34213","34979","35400","35837","36249","36497","36934","37662","38425","39049","39678","40221","40475","40800","41182","41260","41004","40905","40973","41264","",
"Africa Eastern and Southern","AFE","Rural population","SP.RUR.TOTL","111032160","113681311","116448633","119304902","122288692","125378512","128527579","131793416","135191652","138649429","142164256","145728969","149268294","152988596","156897262","160829160","164875928","168889116","173294178","178063666","182687869","187656492","192993915","198194995","203203382","208176732","213104843","218084542","222949852","227755085","232869893","238075874","243422297","249185160","254613108","260151499","266262251","272264524","278255180","284398264","290529188","296635883","302806843","309006560","315253549","321665646","328227026","335347249","342166245","349643587","357478970","365311649","373334239","381547399","389581077","397722318","405930605","414226898","422869281","431950212","441054369","449899457","458408691","467013510","475096789","",
"Afghanistan","AFG","Rural population","SP.RUR.TOTL","8301167","8441059","8589734","8745586","8908345","9079642","9256311","9438477","9627799","9822230","10022273","10218179","10412051","10614943","10818867","11014873","11194969","11374276","11551606","11547475","11104231","10039057","9220955","9139043","9347815","9527542","9505317","9463094","9561075","9837858","9966093","10112171","10956720","12313104","13371924","14022249","14573046","15113581","15666015","16230356","16394501","16482777","17328835","18377389","18990038","19595425","20311194","20574843","20888394","21509103","21987632","22650394","23426271","24094061","24859678","25554853","26143845","26825487","27557586","28337682","29199291","29861163","30274281","30894968","31686773","",
"Africa Western and Central","AFW","Rural population","SP.RUR.TOTL","84014848","85280694","86558837","87859261","89163536","90483595","91828619","93188121","94588274","96039667","97555214","99101330","100675829","102316272","104045064","105879148","107738608","109664038","111748515","113957054","116199803","118494605","120923012","123205001","125394550","127748385","130234641","132608013","135120932","137713854","140214209","142488224","145235277","147974927","150717007","153605887","156478321","159315806","162242363","165160270","168136420","171215392","174361496","177556691","180819821","184139064","187451955","190899738","194415870","197896751","201395318","205014708","208583014","212088708","215615578","219089003","222569343","225963892","229182171","232192068","235024216","237749496","240329060","243070193","245961860","",
"Angola","AGO","Rural population","SP.RUR.TOTL","4688237","4728453","4754249","4781944","4811480","4842330","4873604","4904146","4932828","4958649","5004775","5087892","5201039","5331544","5461559","5585913","5702290","5818003","5936055","6052739","6171252","6290308","6408984","6527712","6643631","6755796","6862196","6957174","7046058","7135071","7222527","7308349","7389552","7467433","7552365","7642969","7729472","7810973","7883933","7949629","8015316","8085137","8162624","8253326","8361908","8488111","8627806","8777599","8936762","9105434","9287407","9483141","9690421","9908055","10124688","10273182","10418581","10556478","10680713","10792811","10886060","10963212","11028821","11079544","11117550","",
"Albania","ALB","Rural population","SP.RUR.TOTL","1112613","1145548","1179558","1213744","1248295","1282348","1315751","1349801","1387344","1426166","1460262","1492483","1525876","1557449","1588276","1619565","1649883","1680964","1710565","1739655","1770654","1801688","1835424","1869925","1904586","1938635","1970379","2003253","2033578","2079861","2106770","2081520","2054777","2026684","1997380","1967000","1935681","1903551","1870740","1837372","1803572","1764052","1734437","1701288","1665467","1626391","1583952","1538401","1491781","1445807","1401700","1356966","1319823","1287381","1255613","1224768","1194827","1165768","1137571","1110217","1083685","1057957","1033013","1008836","985406","",
"Andorra","AND","Rural population","SP.RUR.TOTL","3951","4092","4209","4299","4360","4390","4420","4471","4509","4506","4464","4384","4269","4123","3946","3743","3518","3276","3025","2773","2529","2309","2142","2037","1991","2018","2107","2203","2298","2377","2753","3222","3605","3949","4171","4248","4370","4540","4722","4902","5087","5337","5679","6262","7049","7776","8453","8966","9234","9358","9071","8798","8737","8586","8447","8287","8299","8484","8638","8765","8828","8884","8963","9040","9107","",
"Arab World","ARB","Rural population","SP.RUR.TOTL","63211722","64156628","65080794","66037760","67039955","68104235","69287071","70564585","71860836","73179704","74508915","75857760","77220394","78739386","80345318","82091532","84003593","85905738","87996341","90350288","92666406","94694865","96668129","98765337","100773317","102704810","104624073","106535233","108294876","110029158","112615864","114427564","116346939","118896293","121556978","124095960","126523543","128892914","131347206","133804627","136278177","138751405","141196156","143589000","145986717","148467158","151012177","153694409","156415901","159092443","161453159","163510400","164753723","165863473","167985662","170837395","173958946","176976294","179697897","182616111","185618319","188346950","191680351","194915735","197932371","",
"United Arab Emirates","ARE","Rural population","SP.RUR.TOTL","34804","35133","35548","36039","36571","37066","37408","37462","40282","46763","53803","60449","66834","73199","79893","87411","99345","117981","140613","166103","191925","212782","229724","247094","264677","282220","303233","328045","353287","378849","404591","430344","455907","481040","505470","529349","564477","609066","650785","689119","723621","754142","780660","802900","820558","829760","873642","969765","1073602","1128784","1142356","1167311","1200052","1234284","1277914","1332903","1384100","1412382","1415074","1414050","1391774","1402071","1459387","1502524","1558189","",
"Argentina","ARG","Rural population","SP.RUR.TOTL","5764381","5713100","5653155","5585201","5510292","5430054","5347745","5267417","5192364","5125494","5071317","5028709","4993804","4965974","4943680","4922398","4900421","4879245","4857085","4831372","4800080","4762309","4717395","4666684","4611436","4552906","4493060","4434171","4378972","4328627","4284559","4248484","4217895","4190275","4165878","4143394","4121208","4099038","4076295","4052870","4028032","4000160","3969629","3937540","3904989","3873296","3842009","3809731","3778772","3750105","3718871","3711012","3708494","3704056","3701131","3698893","3693912","3685898","3675993","3662286","3640709","3611716","3581395","3554494","3530379","",
