Year,Age_0_14,Age_15_64,Rural_Population,Labor_Force_Participation,Birth_Rate,Death_Rate,Fertility_Rate,GDP_Growth,Infant_Mortality,Age_65_Plus,Life_Expectancy,Literacy_Rate,Net_Migration,Population,Population_Density,Population_Growth,Urban_Population
1960,40.5830655127958,56.1178820205874,357839038.0,57.937,42.902,19.421,5.921,3.72274253311053,150.4,3.29905246661682,45.61,40.7599983215332,146955.0,435990338.0,150.197171724646,2.39642770212636,17.9250073975312
1961,40.8724161026076,55.7890578006095,366075862.0,57.937,42.67,19.227,5.937,3.72274253311053,148.4,3.33852609678285,45.824,40.7599983215332,295177.0,446564729.0,150.197171724646,2.39642770212636,18.0240089532608
1962,41.1607018326008,55.4442002824161,374315608.0,57.937,42.475,18.981,5.953,2.93112773548363,146.6,3.39509788498313,46.133,40.7599983215332,-70514.0,457283090.0,153.802175441193,2.3718292492177,18.1435710412125
1963,41.4507795047652,55.0910185087824,382544792.0,57.937,42.261,18.728,5.969,5.99435326188559,145.0,3.45820198645241,46.458,40.7599983215332,21640.0,468138575.0,157.453299318241,2.34617004494498,18.283856024527
1964,41.6284156555789,54.8590362734649,390845089.0,57.937,42.061,18.512,5.979,7.45295012250209,143.5,3.51254807095617,46.742,40.7599983215332,-141916.0,479229598.0,161.183643830364,2.34154578203199,18.4430405128829
1965,41.6687820140324,54.7792309385732,398877427.0,57.937,41.65,19.359,5.941,-2.63577011020728,142.0,3.5519870473944,45.558,40.7599983215332,-248299.0,490140146.0,164.853287546373,2.25115521196281,18.6197192716934
1966,41.6636702861234,54.7575774351527,406538553.0,57.937,41.205,19.058,5.881,-0.0553287704537979,140.5,3.57875227872386,45.884,40.7599983215332,-566982.0,500740247.0,168.418515802892,2.13961351155644,18.8124870663716
1967,41.6119803934068,54.7936108923147,414299154.0,57.937,40.831,18.783,5.825,7.82596303082235,139.2,3.59440871427849,46.184,40.7599983215332,-70314.0,511606372.0,172.073218327789,2.14680270986968,19.019938662331
1968,41.5489992342193,54.841810032698,422142663.0,57.937,40.485,17.515,5.76,3.38792917634143,137.9,3.60919073308266,47.925,40.7599983215332,-995416.0,522716889.0,175.810119434009,2.14844716038577,19.2406688249846
1969,41.4858386761944,54.8812200720328,429916532.0,57.937,40.058,17.267,5.684,6.53970029928357,136.4,3.63294125177274,48.26,40.7599983215332,-851844.0,533880544.0,179.564892926453,2.11321172870178,19.4732723197457
1970,41.3587261036841,54.9803453154402,438239792.0,57.937,39.763,17.014,5.624,5.15722973718955,134.8,3.66092858087571,48.585,40.7599983215332,233782.0,545864268.0,183.595487674854,2.21982378728468,19.7163439120276
1971,41.2306463818492,55.074520438461,446625401.0,57.937,39.724,16.812,5.565,1.64293037527582,133.1,3.69483317968977,48.902,40.7599983215332,-974574.0,558096387.0,187.709627369929,2.21613325893602,19.973429065388
