Year,Age_0_14,Age_15_64,Rural_Population,Labor_Force_Participation,Birth_Rate,Death_Rate,Fertility_Rate,GDP_Growth,Infant_Mortality,Age_65_Plus,Life_Expectancy,Literacy_Rate,Net_Migration,Population,Population_Density,Population_Growth,Urban_Population,Prev_Population,Population_Lag_2,Population_Lag_3,Population_MA3,Population_Change,Population_Growth_Rate,Birth_Rate_Lag_1,Birth_Rate_Change,Death_Rate_Lag_1,Death_Rate_Change,Fertility_Rate_Lag_1,Fertility_Rate_Change,Life_Expectancy_Lag_1,Life_Expectancy_Change,GDP_Growth_Lag_1,GDP_Growth_Change,Net_Migration_Lag_1,Net_Migration_Change,Literacy_Rate_Lag_1,Literacy_Rate_Change,Urban_Population_Lag_1,Urban_Population_Change,Infant_Mortality_Lag_1,Infant_Mortality_Change,Population_Density_Lag_1,Population_Density_Change,Birth_Death_Ratio
1963,41.4507795047652,55.0910185087824,382544792.0,57.937,42.261,18.728,5.969,5.99435326188559,145.0,3.45820198645241,46.458,40.7599983215332,21640.0,468138575.0,157.453299318241,2.34617004494498,18.283856024527,457283090.0,446564729.0,435990338.0,446612719.0,10718361.0,2.4001808257454207,42.475,-0.19500000000000028,18.981,-0.24599999999999866,5.953,0.016000000000000014,46.133,0.3090000000000046,2.93112773548363,-0.7916147976269001,-70514.0,-365691.0,40.7599983215332,0.0,18.1435710412125,0.11956208795169943,146.6,-1.8000000000000114,153.802175441193,3.6050037165469746,2.237764079869343
1964,41.6284156555789,54.8590362734649,390845089.0,57.937,42.061,18.512,5.979,7.45295012250209,143.5,3.51254807095617,46.742,40.7599983215332,-141916.0,479229598.0,161.183643830364,2.34154578203199,18.4430405128829,468138575.0,457283090.0,446564729.0,457328798.0,10855485.0,2.373909124870548,42.261,-0.21399999999999864,18.728,-0.2530000000000001,5.969,0.016000000000000014,46.458,0.32499999999999574,5.99435326188559,3.06322552640196,21640.0,92154.0,40.7599983215332,0.0,18.283856024527,0.14028498331450123,145.0,-1.5999999999999943,157.453299318241,3.6511238770480077,2.2565677061085005
1965,41.6687820140324,54.7792309385732,398877427.0,57.937,41.65,19.359,5.941,-2.63577011020728,142.0,3.5519870473944,45.558,40.7599983215332,-248299.0,490140146.0,164.853287546373,2.25115521196281,18.6197192716934,479229598.0,468138575.0,457283090.0,468217087.6666667,11091023.0,2.36917519561382,42.061,-0.20000000000000284,18.512,-0.21600000000000108,5.979,0.009999999999999787,46.742,0.2839999999999989,7.45295012250209,1.4585968606164998,-141916.0,-163556.0,40.7599983215332,0.0,18.4430405128829,0.1591844883558977,143.5,-1.5,161.183643830364,3.730344512122997,2.2720937770095073
1966,41.6636702861234,54.7575774351527,406538553.0,57.937,41.205,19.058,5.881,-0.0553287704537979,140.5,3.57875227872386,45.884,40.7599983215332,-566982.0,500740247.0,168.418515802892,2.13961351155644,18.8124870663716,490140146.0,479229598.0,468138575.0,479169439.6666667,10910548.0,2.2766849221195224,41.65,-0.41100000000000136,19.359,0.8470000000000013,5.941,-0.038000000000000256,45.558,-1.1839999999999975,-2.63577011020728,-10.08872023270937,-248299.0,-106383.0,40.7599983215332,0.0,18.6197192716934,0.17667875881049966,142.0,-1.5,164.853287546373,3.6696437160090056,2.151454104034299
1967,41.6119803934068,54.7936108923147,414299154.0,57.937,40.831,18.783,5.825,7.82596303082235,139.2,3.59440871427849,46.184,40.7599983215332,-70314.0,511606372.0,172.073218327789,2.14680270986968,19.019938662331,500740247.0,490140146.0,479229598.0,490036663.6666667,10600101.0,2.1626673690181666,41.205,-0.4450000000000003,19.058,-0.30100000000000193,5.881,-0.05999999999999961,45.884,0.3260000000000005,-0.0553287704537979,2.580441339753482,-566982.0,-318683.0,40.7599983215332,0.0,18.8124870663716,0.1927677946782005,140.5,-1.5,168.418515802892,3.565228256518992,2.162084164130549
1968,41.5489992342193,54.841810032698,422142663.0,57.937,40.485,17.515,5.76,3.38792917634143,137.9,3.60919073308266,47.925,40.7599983215332,-995416.0,522716889.0,175.810119434009,2.14844716038577,19.2406688249846,511606372.0,500740247.0,490140146.0,500828921.6666667,10866125.0,2.1700123097954216,40.831,-0.3739999999999952,18.783,-0.2749999999999986,5.825,-0.05600000000000005,46.184,0.29999999999999716,7.82596303082235,7.881291801276148,-70314.0,496668.0,40.7599983215332,0.0,19.019938662331,0.20745159595940166,139.2,-1.3000000000000114,172.073218327789,3.6547025248970044,2.173827397114412
1969,41.4858386761944,54.8812200720328,429916532.0,57.937,40.058,17.267,5.684,6.53970029928357,136.4,3.63294125177274,48.26,40.7599983215332,-851844.0,533880544.0,179.564892926453,2.11321172870178,19.4732723197457,522716889.0,511606372.0,500740247.0,511687836.0,11110517.0,2.1716924589047144,40.485,-0.34600000000000364,17.515,-1.2680000000000007,5.76,-0.06500000000000039,47.925,1.7409999999999997,3.38792917634143,-4.43803385448092,-995416.0,-925102.0,40.7599983215332,0.0,19.2406688249846,0.22073016265359868,137.9,-1.299999999999983,175.810119434009,3.7369011062200173,2.3114473308592633
1970,41.3587261036841,54.9803453154402,438239792.0,57.937,39.763,17.014,5.624,5.15722973718955,134.8,3.66092858087571,48.585,40.7599983215332,233782.0,545864268.0,183.595487674854,2.21982378728468,19.7163439120276,533880544.0,522716889.0,511606372.0,522734601.6666667,11163655.0,2.135698163753037,40.058,-0.4269999999999996,17.267,-0.2480000000000011,5.684,-0.07599999999999962,48.26,0.33500000000000085,6.53970029928357,3.15177112294214,-851844.0,143572.0,40.7599983215332,0.0,19.4732723197457,0.23260349476110065,136.4,-1.5,179.564892926453,3.754773492444002,2.3199166039265653
1971,41.2306463818492,55.074520438461,446625401.0,57.937,39.724,16.812,5.565,1.64293037527582,133.1,3.69483317968977,48.902,40.7599983215332,-974574.0,558096387.0,187.709627369929,2.21613325893602,19.973429065388,545864268.0,533880544.0,522716889.0,534153900.3333333,11983724.0,2.244645199132786,39.763,-0.2950000000000017,17.014,-0.2530000000000001,5.624,-0.0600000000000005,48.585,0.32500000000000284,5.15722973718955,-1.3824705620940199,233782.0,1085626.0,40.7599983215332,0.0,19.7163439120276,0.24307159228190045,134.8,-1.5999999999999943,183.595487674854,4.0305947484010005,2.337075349712002
1972,41.1093898370524,55.1551236420255,454808117.0,57.937,39.458,16.597,5.482,-0.553301305344547,131.2,3.73548652092206,49.213,40.7599983215332,-82816.0,570482142.0,191.875440856454,2.19501824226466,20.2765374145567,558096387.0,545864268.0,533880544.0,545947066.3333334,12232119.0,2.24087190114448,39.724,-0.03900000000000148,16.812,-0.20199999999999818,5.565,-0.058999999999999275,48.902,0.31700000000000017,1.64293037527582,-3.5142993619137304,-974574.0,-1208356.0,40.7599983215332,0.0,19.973429065388,0.25708515336039994,133.1,-1.700000000000017,187.709627369929,4.114139695074982,2.362836069474185
