Year,Actual_Population,Predicted_Population
1960,435990338.0,449796126.43333334
1961,446564729.0,450941863.1
1962,457283090.0,459875469.31333333
1963,468138575.0,469279622.50666666
1964,479229598.0,479845321.3
1965,490140146.0,489931999.16
1966,500740247.0,501014802.50666666
1967,511606372.0,508043784.3933333
1968,522716889.0,522644325.2266667
1969,533880544.0,532898052.2133333
1970,545864268.0,543528609.4866667
1971,558096387.0,556774206.1466666
1972,570482142.0,568926364.92
1973,583465598.0,581699247.9066666
1974,597041391.0,597626335.86
1975,611309535.0,611606759.0
1976,625861883.0,623660395.16
1977,640801103.0,639899420.7066667
1978,655728229.0,660500090.9933333
1979,671155747.0,670408402.5533333
1980,687354025.0,684284173.52
1981,703696250.0,704059738.7133334
1982,720313473.0,721960059.3666667
1983,737372681.0,740183599.3866667
1984,754875449.0,753510438.8266667
1985,772647793.0,774667018.92
1986,790689978.0,787741689.8733333
1987,808931270.0,808412802.6066667
1988,827342990.0,824944349.0
1989,846039529.0,844167073.9133333
1990,864972221.0,865119281.32
1991,883927600.0,880629297.5266666
1992,902957070.0,901086752.38
1993,922118387.0,921093707.3333334
1994,941163767.0,943789810.2266667
1995,960301044.0,958070622.0
1996,979678458.0,980882673.8266667
1997,999133762.0,1001625622.68
1998,1018665080.0,1017375148.6066667
1999,1038225823.0,1035914972.6866666
2000,1057922733.0,1059278221.1866666
2001,1077898575.0,1073629096.32
2002,1097600380.0,1094101128.1266668
2003,1116803006.0,1117106148.3266666
2004,1135991513.0,1133728734.62
2005,1154676322.0,1157332764.0
2006,1172878890.0,1174786429.3733332
2007,1190676021.0,1193360197.24
2008,1207930964.0,1208340232.3466666
2009,1225524753.0,1225245916.5666666
2010,1243481564.0,1242113247.18
2011,1261224954.0,1262237683.3133333
2012,1278674502.0,1278296380.5933332
2013,1295829511.0,1297116448.2266667
2014,1312277191.0,1313473849.9
2015,1328024498.0,1331420978.3666666
2016,1343944296.0,1346043383.1866667
2017,1359657400.0,1363147974.36
2018,1374659064.0,1377012340.34
2019,1389030312.0,1390503655.82
2020,1402617695.0,1404928766.7466667
2021,1414203896.0,1410928621.0133333
2022,1425423212.0,1421288641.08
2023,1438069596.0,1438045675.1866667
2024,1450935791.0,1446909728.74
2025,1450935791.0,1446868739.1666667
