Year,Population,Source_Type,Data_Status,Source,Population_Change,Growth_Rate,Source_File,Population_Growth_Rate,Previous_Population,Growth_Rate_Change,Growth_Direction,Growth_Category
2026,1474539165.2701452,Forecast,ML Forecast,Population forecasting model,,0.7899210063190054,Population analytics,0.7899210063190054,1462982757.1525722,,Not Available,Moderate
2027,1485748771.537257,Forecast,ML Forecast,Population forecasting model,11209606.267111778,0.7602108191584023,Population analytics,0.7602108191584023,1474539165.2701452,-0.02971018716060314,Decelerating,Moderate
2028,1496603153.632913,Forecast,ML Forecast,Population forecasting model,10854382.095656157,0.7305664526597866,Population analytics,0.7305664526597866,1485748771.537257,-0.029644366498615682,Decelerating,Moderate
2029,1507083391.8837166,Forecast,ML Forecast,Population forecasting model,10480238.25080347,0.7002683527268516,Population analytics,0.7002683527268516,1496603153.632913,-0.030298099932934974,Decelerating,Moderate
2030,1517181985.8998127,Forecast,ML Forecast,Population forecasting model,10098594.016096115,0.6700753303023221,Population analytics,0.6700753303023221,1507083391.8837166,-0.03019302242452948,Decelerating,Moderate
2031,1526894281.1174576,Forecast,ML Forecast,Population forecasting model,9712295.21764493,0.6401536076692027,Population analytics,0.6401536076692027,1517181985.8998127,-0.02992172263311943,Decelerating,Moderate
2032,1536215048.899895,Forecast,ML Forecast,Population forecasting model,9320767.782437325,0.6104396288403091,Population analytics,0.6104396288403091,1526894281.1174576,-0.029713978828893595,Decelerating,Moderate
2033,1545138637.9961586,Forecast,ML Forecast,Population forecasting model,8923589.096263647,0.5808815050115435,Population analytics,0.5808815050115435,1536215048.899895,-0.02955812382876566,Decelerating,Moderate
2034,1553659299.4483306,Forecast,ML Forecast,Population forecasting model,8520661.452172041,0.5514496397049706,Population analytics,0.5514496397049706,1545138637.9961586,-0.029431865306572824,Decelerating,Moderate
2035,1561771229.098921,Forecast,ML Forecast,Population forecasting model,8111929.65059042,0.5221176646302617,Population analytics,0.5221176646302617,1553659299.4483306,-0.02933197507470897,Decelerating,Moderate
2036,1569468545.4949172,Forecast,ML Forecast,Population forecasting model,7697316.395996094,0.4928581249660446,Population analytics,0.49285812496604464,1561771229.098921,-0.029259539664217016,Decelerating,Slow
2037,1576745281.203604,Forecast,ML Forecast,Population forecasting model,7276735.708686829,0.4636432969347792,Population analytics,0.46364329693477924,1569468545.4949172,-0.029214828031265405,Decelerating,Slow
2038,1583595382.1157002,Forecast,ML Forecast,Population forecasting model,6850100.912096262,0.4344456263009943,Population analytics,0.43444562630099437,1576745281.203604,-0.029197670633784867,Decelerating,Slow
2039,1590012706.9552872,Forecast,ML Forecast,Population forecasting model,6417324.839586973,0.4052376580571559,Population analytics,0.40523765805715595,1583595382.1157002,-0.029207968243838422,Decelerating,Slow
2040,1595991026.1102622,Forecast,ML Forecast,Population forecasting model,5978319.154974937,0.3759919105566611,Population analytics,0.37599191055666115,1590012706.9552872,-0.0292457475004948,Decelerating,Slow
2041,1601524020.3093412,Forecast,ML Forecast,Population forecasting model,5532994.199079037,0.3466807838239605,Population analytics,0.3466807838239605,1595991026.1102622,-0.029311126732700643,Decelerating,Slow
2042,1606605279.3150015,Forecast,ML Forecast,Population forecasting model,5081259.0056602955,0.3172764779811876,Population analytics,0.31727647798118763,1601524020.3093412,-0.02940430584277287,Decelerating,Slow
2043,1611228300.615692,Forecast,ML Forecast,Population forecasting model,4623021.3006904125,0.2877509093373254,Population analytics,0.2877509093373254,1606605279.3150015,-0.029525568643862243,Decelerating,Slow
2044,1615386488.0993178,Forecast,ML Forecast,Population forecasting model,4158187.483625889,0.2580756235498693,Population analytics,0.25807562354986935,1611228300.615692,-0.02967528578745604,Decelerating,Slow
2045,1619073150.7060657,Forecast,ML Forecast,Population forecasting model,3686662.6067478657,0.2282217063165781,Population analytics,0.22822170631657812,1615386488.0993178,-0.029853917233291227,Decelerating,Very Slow
2046,1622281501.061553,Forecast,ML Forecast,Population forecasting model,3208350.3554873466,0.1981596911843075,Population analytics,0.19815969118430754,1619073150.7060657,-0.03006201513227058,Decelerating,Very Slow
2047,1625004654.0903904,Forecast,ML Forecast,Population forecasting model,2723153.0288374424,0.1678594637894548,Population analytics,0.16785946378945482,1622281501.061553,-0.03030022739485272,Decelerating,Very Slow
2048,1627235625.6098282,Forecast,ML Forecast,Population forecasting model,2230971.51943779,0.137290161835657,Population analytics,0.137290161835657,1625004654.0903904,-0.03056930195379781,Decelerating,Very Slow
2049,1628967330.9031558,Forecast,ML Forecast,Population forecasting model,1731705.29332757,0.106420070091473,Population analytics,0.10642007009147303,1627235625.6098282,-0.03087009174418398,Decelerating,Very Slow
2050,1630192583.2725654,Forecast,ML Forecast,Population forecasting model,1225252.3694095612,0.0752165096356005,Population analytics,0.07521650963560056,1628967330.9031558,-0.03120356045587247,Decelerating,Extremely Slow
