Year,Population,Previous_Population,Population_Change,Population_Growth_Rate,Source_Type,Data_Status,Source,Growth_Category,Population_Direction,Insight
1960,435990338.0,,,,Historical,Official,Official WDI dataset,Not Available,Not Available,"In 1960, India's official population was approximately 435,990,338."
1961,446564729.0,435990338.0,10574391.0,2.4253727842932227,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1961, India's official population was approximately 446,564,729. The annual population growth rate is approximately 2.4254%."
1962,457283090.0,446564729.0,10718361.0,2.400180825745424,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1962, India's official population was approximately 457,283,090. The annual population growth rate is approximately 2.4002%."
1963,468138575.0,457283090.0,10855485.0,2.3739091248705435,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1963, India's official population was approximately 468,138,575. The annual population growth rate is approximately 2.3739%."
1964,479229598.0,468138575.0,11091023.0,2.369175195613815,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1964, India's official population was approximately 479,229,598. The annual population growth rate is approximately 2.3692%."
1965,490140146.0,479229598.0,10910548.0,2.2766849221195207,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1965, India's official population was approximately 490,140,146. The annual population growth rate is approximately 2.2767%."
1966,500740247.0,490140146.0,10600101.0,2.1626673690181564,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1966, India's official population was approximately 500,740,247. The annual population growth rate is approximately 2.1627%."
1967,511606372.0,500740247.0,10866125.0,2.1700123097954327,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1967, India's official population was approximately 511,606,372. The annual population growth rate is approximately 2.1700%."
1968,522716889.0,511606372.0,11110517.0,2.171692458904717,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1968, India's official population was approximately 522,716,889. The annual population growth rate is approximately 2.1717%."
1969,533880544.0,522716889.0,11163655.0,2.1356981637530303,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1969, India's official population was approximately 533,880,544. The annual population growth rate is approximately 2.1357%."
1970,545864268.0,533880544.0,11983724.0,2.2446451991327887,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1970, India's official population was approximately 545,864,268. The annual population growth rate is approximately 2.2446%."
1971,558096387.0,545864268.0,12232119.0,2.240871901144481,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1971, India's official population was approximately 558,096,387. The annual population growth rate is approximately 2.2409%."
1972,570482142.0,558096387.0,12385755.0,2.219286003010801,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1972, India's official population was approximately 570,482,142. The annual population growth rate is approximately 2.2193%."
1973,583465598.0,570482142.0,12983456.0,2.2758742200908344,Historical,Official,Official WDI dataset,Very High Growth,Increasing,"In 1973, India's official population was approximately 583,465,598. The annual population growth rate is approximately 2.2759%."
