Year,Population,Source_Type,Data_Status,Source,Population_Change,Growth_Rate
1960,435990338.0,Historical,Official,Official WDI dataset,,
1961,446564729.0,Historical,Official,Official WDI dataset,10574391.0,2.4253727842932227
1962,457283090.0,Historical,Official,Official WDI dataset,10718361.0,2.400180825745424
1963,468138575.0,Historical,Official,Official WDI dataset,10855485.0,2.3739091248705435
1964,479229598.0,Historical,Official,Official WDI dataset,11091023.0,2.369175195613815
1965,490140146.0,Historical,Official,Official WDI dataset,10910548.0,2.2766849221195207
1966,500740247.0,Historical,Official,Official WDI dataset,10600101.0,2.1626673690181564
1967,511606372.0,Historical,Official,Official WDI dataset,10866125.0,2.1700123097954327
1968,522716889.0,Historical,Official,Official WDI dataset,11110517.0,2.171692458904717
1969,533880544.0,Historical,Official,Official WDI dataset,11163655.0,2.1356981637530303
1970,545864268.0,Historical,Official,Official WDI dataset,11983724.0,2.2446451991327887
1971,558096387.0,Historical,Official,Official WDI dataset,12232119.0,2.240871901144481
1972,570482142.0,Historical,Official,Official WDI dataset,12385755.0,2.219286003010801
1973,583465598.0,Historical,Official,Official WDI dataset,12983456.0,2.2758742200908344
1974,597041391.0,Historical,Official,Official WDI dataset,13575793.0,2.3267512337548313
1975,611309535.0,Historical,Official,Official WDI dataset,14268144.0,2.389808179982622
1976,625861883.0,Historical,Official,Official WDI dataset,14552348.0,2.3805203692757626
1977,640801103.0,Historical,Official,Official WDI dataset,14939220.0,2.38698351917368
1978,655728229.0,Historical,Official,Official WDI dataset,14927126.0,2.3294476133259634
1979,671155747.0,Historical,Official,Official WDI dataset,15427518.0,2.3527304937789983
1980,687354025.0,Historical,Official,Official WDI dataset,16198278.0,2.413490173093913
1981,703696250.0,Historical,Official,Official WDI dataset,16342225.0,2.377555729014613
1982,720313473.0,Historical,Official,Official WDI dataset,16617223.0,2.361419859776137
1983,737372681.0,Historical,Official,Official WDI dataset,17059208.0,2.368303334512256
1984,754875449.0,Historical,Official,Official WDI dataset,17502768.0,2.373666458087831
1985,772647793.0,Historical,Official,Official WDI dataset,17772344.0,2.3543412391465957
1986,790689978.0,Historical,Official,Official WDI dataset,18042185.0,2.335111180470295
1987,808931270.0,Historical,Official,Official WDI dataset,18241292.0,2.307009385162595
1988,827342990.0,Historical,Official,Official WDI dataset,18411720.0,2.276054923677262
1989,846039529.0,Historical,Official,Official WDI dataset,18696539.0,2.259829263797841
1990,864972221.0,Historical,Official,Official WDI dataset,18932692.0,2.237802295405511
1991,883927600.0,Historical,Official,Official WDI dataset,18955379.0,2.1914436718078134
1992,902957070.0,Historical,Official,Official WDI dataset,19029470.0,2.152831295232782
1993,922118387.0,Historical,Official,Official WDI dataset,19161317.0,2.1220629016172277
1994,941163767.0,Historical,Official,Official WDI dataset,19045380.0,2.0653942344607046
1995,960301044.0,Historical,Official,Official WDI dataset,19137277.0,2.0333631266958863
1996,979678458.0,Historical,Official,Official WDI dataset,19377414.0,2.0178478531363453
1997,999133762.0,Historical,Official,Official WDI dataset,19455304.0,1.9858866795660512
1998,1018665080.0,Historical,Official,Official WDI dataset,19531318.0,1.9548251438229247
1999,1038225823.0,Historical,Official,Official WDI dataset,19560743.0,1.9202329974833399
2000,1057922733.0,Historical,Official,Official WDI dataset,19696910.0,1.897170111131019
2001,1077898575.0,Historical,Official,Official WDI dataset,19975842.0,1.8882137018980227
2002,1097600380.0,Historical,Official,Official WDI dataset,19701805.0,1.827797666399178
2003,1116803006.0,Historical,Official,Official WDI dataset,19202626.0,1.7495097805997561
2004,1135991513.0,Historical,Official,Official WDI dataset,19188507.0,1.718163982090859
2005,1154676322.0,Historical,Official,Official WDI dataset,18684809.0,1.6448018128811581
2006,1172878890.0,Historical,Official,Official WDI dataset,18202568.0,1.5764216909264661
2007,1190676021.0,Historical,Official,Official WDI dataset,17797131.0,1.5173886367756184
2008,1207930964.0,Historical,Official,Official WDI dataset,17254943.0,1.449171957415274
2009,1225524753.0,Historical,Official,Official WDI dataset,17593789.0,1.4565227255818547
2010,1243481564.0,Historical,Official,Official WDI dataset,17956811.0,1.4652344602622547
2011,1261224954.0,Historical,Official,Official WDI dataset,17743390.0,1.4269121886233194
2012,1278674502.0,Historical,Official,Official WDI dataset,17449548.0,1.383539704369019
2013,1295829511.0,Historical,Official,Official WDI dataset,17155009.0,1.3416243909742054
2014,1312277191.0,Historical,Official,Official WDI dataset,16447680.0,1.269278084839054
2015,1328024498.0,Historical,Official,Official WDI dataset,15747307.0,1.1999985298837723
2016,1343944296.0,Historical,Official,Official WDI dataset,15919798.0,1.1987578560467282
2017,1359657400.0,Historical,Official,Official WDI dataset,15713104.0,1.1691782201663559
2018,1374659064.0,Historical,Official,Official WDI dataset,15001664.0,1.103341474109576
2019,1389030312.0,Historical,Official,Official WDI dataset,14371248.0,1.0454408934083226
2020,1402617695.0,Historical,Official,Official WDI dataset,13587383.0,0.9781919719546117
2021,1414203896.0,Historical,Official,Official WDI dataset,11586201.0,0.8260412685011875
2022,1425423212.0,Historical,Official,Official WDI dataset,11219316.0,0.7933308649292536
2023,1438069596.0,Historical,Official,Official WDI dataset,12646384.0,0.887202052943703
2024,1450935791.0,Historical,Official,Official WDI dataset,12866195.0,0.8946851415110535
2025,1462982757.1525722,Estimated,Model Estimated,Population forecasting model,12046966.152572155,0.8302894054511789
2026,1474539165.2701452,Forecast,ML Forecast,Population forecasting model,11556408.117573023,0.7899210063190054
2027,1485748771.537257,Forecast,ML Forecast,Population forecasting model,11209606.267111778,0.7602108191584023
2028,1496603153.632913,Forecast,ML Forecast,Population forecasting model,10854382.095656157,0.7305664526597866
2029,1507083391.8837166,Forecast,ML Forecast,Population forecasting model,10480238.25080347,0.7002683527268516
2030,1517181985.8998127,Forecast,ML Forecast,Population forecasting model,10098594.016096115,0.6700753303023221
2031,1526894281.1174576,Forecast,ML Forecast,Population forecasting model,9712295.21764493,0.6401536076692027
2032,1536215048.899895,Forecast,ML Forecast,Population forecasting model,9320767.782437325,0.6104396288403091
2033,1545138637.9961586,Forecast,ML Forecast,Population forecasting model,8923589.096263647,0.5808815050115435
2034,1553659299.4483306,Forecast,ML Forecast,Population forecasting model,8520661.452172041,0.5514496397049706
2035,1561771229.098921,Forecast,ML Forecast,Population forecasting model,8111929.65059042,0.5221176646302617
2036,1569468545.4949172,Forecast,ML Forecast,Population forecasting model,7697316.395996094,0.49285812496604464
2037,1576745281.203604,Forecast,ML Forecast,Population forecasting model,7276735.708686829,0.46364329693477924
2038,1583595382.1157002,Forecast,ML Forecast,Population forecasting model,6850100.912096262,0.43444562630099437
2039,1590012706.9552872,Forecast,ML Forecast,Population forecasting model,6417324.839586973,0.40523765805715595
2040,1595991026.1102622,Forecast,ML Forecast,Population forecasting model,5978319.154974937,0.37599191055666115
2041,1601524020.3093412,Forecast,ML Forecast,Population forecasting model,5532994.199079037,0.3466807838239605
2042,1606605279.3150015,Forecast,ML Forecast,Population forecasting model,5081259.0056602955,0.31727647798118763
2043,1611228300.615692,Forecast,ML Forecast,Population forecasting model,4623021.3006904125,0.2877509093373254
2044,1615386488.0993178,Forecast,ML Forecast,Population forecasting model,4158187.483625889,0.25807562354986935
2045,1619073150.7060657,Forecast,ML Forecast,Population forecasting model,3686662.6067478657,0.22822170631657812
2046,1622281501.061553,Forecast,ML Forecast,Population forecasting model,3208350.3554873466,0.19815969118430754
2047,1625004654.0903904,Forecast,ML Forecast,Population forecasting model,2723153.0288374424,0.16785946378945482
2048,1627235625.6098282,Forecast,ML Forecast,Population forecasting model,2230971.51943779,0.137290161835657
2049,1628967330.9031558,Forecast,ML Forecast,Population forecasting model,1731705.29332757,0.10642007009147303
2050,1630192583.2725654,Forecast,ML Forecast,Population forecasting model,1225252.3694095612,0.07521650963560056
