Year,Actual_Population,Predicted_Population,Predicted_Population_Change,Absolute_Error,Percentage_Error
2010,1243481564.0,1243050389.4076316,17525636.407631636,431174.59236836433,0.03467478769700234
2011,1261224954.0,1261034946.0283217,17553382.028321743,190007.971678257,0.015065351432798956
2012,1278674502.0,1278687209.3438075,17462255.34380746,12707.343807458878,0.0009937903498961674
2013,1295829511.0,1295925912.6608722,17251410.66087222,96401.660872221,0.007439378410036919
2014,1312277191.0,1312808370.3673704,16978859.367370367,531179.367370367,0.04047768040268918
2015,1328024498.0,1328857618.3964972,16580427.39649725,833120.3964972496,0.06273381234698049
2016,1343944296.0,1344135082.5637376,16110584.56373763,190786.56373763084,0.014196017223739966
2017,1359657400.0,1359846309.8562193,15902013.856219292,188909.8562192917,0.013893930648948161
2018,1374659064.0,1375196645.6070745,15539245.6070745,537581.6070744991,0.03910654075274763
2019,1389030312.0,1390014438.2107854,15355374.210785389,984126.210785389,0.07084987291374452
2020,1402617695.0,1404023497.4418056,14993185.441805601,1405802.4418056011,0.10022705736687582
