Year,Previous_Population,Predicted_Population_Change,Predicted_Population,Predicted_Growth_Rate,Status
2026,1462982757.1525722,11556408.117572963,1474539165.2701452,0.7899210063189941,Forecast
2027,1474539165.2701452,11209606.267111838,1485748771.537257,0.7602108191584158,Forecast
2028,1485748771.537257,10854382.095656097,1496603153.632913,0.7305664526597867,Forecast
2029,1496603153.632913,10480238.250803411,1507083391.8837166,0.7002683527268582,Forecast
2030,1507083391.8837166,10098594.016096234,1517181985.8998127,0.6700753303023208,Forecast
2031,1517181985.8998127,9712295.21764487,1526894281.1174576,0.6401536076692004,Forecast
2032,1526894281.1174576,9320767.782437384,1536215048.899895,0.6104396288403137,Forecast
2033,1536215048.899895,8923589.096263707,1545138637.9961586,0.5808815050115551,Forecast
2034,1545138637.9961586,8520661.4521721,1553659299.4483306,0.5514496397049702,Forecast
2035,1553659299.4483306,8111929.65059042,1561771229.098921,0.522117664630256,Forecast
2036,1561771229.098921,7697316.395996094,1569468545.4949172,0.4928581249660448,Forecast
2037,1569468545.4949172,7276735.708686888,1576745281.203604,0.46364329693477474,Forecast
2038,1576745281.203604,6850100.912096262,1583595382.1157002,0.4344456263009873,Forecast
2039,1583595382.1157002,6417324.839586914,1590012706.9552872,0.4052376580571547,Forecast
2040,1590012706.9552872,5978319.154974878,1595991026.1102622,0.37599191055666165,Forecast
2041,1595991026.1102622,5532994.199079037,1601524020.3093412,0.34668078382395484,Forecast
2042,1601524020.3093412,5081259.005660355,1606605279.3150015,0.31727647798119746,Forecast
2043,1606605279.3150015,4623021.300690472,1611228300.615692,0.2877509093373303,Forecast
2044,1611228300.615692,4158187.4836259484,1615386488.0993178,0.25807562354987174,Forecast
2045,1615386488.0993178,3686662.6067478657,1619073150.7060657,0.22822170631658775,Forecast
2046,1619073150.7060657,3208350.3554873466,1622281501.061553,0.19815969118431795,Forecast
2047,1622281501.061553,2723153.028837383,1625004654.0903904,0.1678594637894512,Forecast
2048,1625004654.0903904,2230971.5194377303,1627235625.6098282,0.13729016183566162,Forecast
2049,1627235625.6098282,1731705.2933275104,1628967330.9031558,0.10642007009147988,Forecast
2050,1628967330.9031558,1225252.3694096208,1630192583.2725654,0.07521650963560444,Forecast
